user_id,event_name,timestamp
1000,app_open,2025-01-15
1001,app_open,2025-01-04
1002,app_open,2025-02-05
1002,app_open,2025-02-06
1003,app_open,2025-02-01
1004,app_open,2025-01-29
1004,app_open,2025-02-01
1005,app_open,2025-01-18
1005,app_open,2025-01-21
1005,app_open,2025-01-25
1006,app_open,2025-01-14
1006,app_open,2025-01-15
1006,app_open,2025-01-17
1006,app_open,2025-01-21
1007,app_open,2025-03-11
1007,app_open,2025-03-12
1007,app_open,2025-03-25
1008,app_open,2025-01-12
1008,app_open,2025-01-13
1008,app_open,2025-01-15
1008,app_open,2025-01-19
1009,app_open,2025-03-17
1009,app_open,2025-03-18
1009,app_open,2025-03-20
1010,app_open,2025-02-24
1010,app_open,2025-02-25
1011,app_open,2025-01-05
1011,app_open,2025-01-06
1011,app_open,2025-02-02
1012,app_open,2025-01-04
1012,app_open,2025-01-05
1012,app_open,2025-01-07
1012,app_open,2025-01-18
1013,app_open,2025-01-12
1013,app_open,2025-01-26
1014,app_open,2025-01-28
1014,app_open,2025-02-25
1015,app_open,2025-01-30
1015,app_open,2025-01-31
1016,app_open,2025-03-06
1016,app_open,2025-03-07
1017,app_open,2025-03-19
1017,app_open,2025-03-22
1018,app_open,2025-01-04
1018,app_open,2025-02-01
1019,app_open,2025-03-13
1019,app_open,2025-03-14
1020,app_open,2025-01-26
1021,app_open,2025-03-11
1021,app_open,2025-03-14
1022,app_open,2025-02-23
1022,app_open,2025-03-02
1023,app_open,2025-01-29
1023,app_open,2025-01-30
1023,app_open,2025-02-01
1024,app_open,2025-02-27
1024,app_open,2025-02-28
1025,app_open,2025-03-17
1025,app_open,2025-03-18
1025,app_open,2025-03-20
1026,app_open,2025-02-05
1026,app_open,2025-02-06
1027,app_open,2025-01-01
1027,app_open,2025-01-02
1028,app_open,2025-01-21
1028,app_open,2025-01-22
1028,app_open,2025-01-28
1029,app_open,2025-02-24
1029,app_open,2025-02-27
1030,app_open,2025-02-13
1030,app_open,2025-02-14
1030,app_open,2025-02-16
1031,app_open,2025-02-05
1031,app_open,2025-02-06
1032,app_open,2025-01-20
1032,app_open,2025-01-21
1033,app_open,2025-01-28
1033,app_open,2025-01-29
1033,app_open,2025-01-31
1033,app_open,2025-02-04
1034,app_open,2025-02-13
1034,app_open,2025-02-14
1035,app_open,2025-01-14
1035,app_open,2025-01-17
1035,app_open,2025-01-21
1036,app_open,2025-01-12
1036,app_open,2025-01-19
1037,app_open,2025-02-18
1038,app_open,2025-01-13
1038,app_open,2025-01-14
1038,app_open,2025-01-16
1039,app_open,2025-02-15
1039,app_open,2025-02-18
1039,app_open,2025-02-22
1040,app_open,2025-02-14
1040,app_open,2025-02-15
1041,app_open,2025-03-19
1042,app_open,2025-02-03
1042,app_open,2025-02-04
1042,app_open,2025-03-03
1043,app_open,2025-01-06
1044,app_open,2025-02-28
1044,app_open,2025-03-03
1045,app_open,2025-03-10
1045,app_open,2025-03-17
